,,,,,
Rank,County,Population,,,
1,Wayne County,"1,757,299",,,
2,Oakland County,"1,253,185",,,
3,Macomb County,"870,325",,,
4,Kent County,"648,121",,,
5,Genesee County,"407,875",,,
6,Washtenaw County,"367,000",,,
7,Ingham County,"290,587",,,
8,Ottawa County,"286,558",,,
9,Kalamazoo County,"262,745",,,
10,Saginaw County,"191,821",,,
11,Livingston County,"189,754",,,
12,Muskegon County,"173,297",,,
13,St. Clair County,"159,247",,,
14,Jackson County,"158,636",,,
15,Berrien County,"154,133",,,
16,Monroe County,"149,727",,,
17,Calhoun County,"134,212",,,
18,Allegan County,"116,143",,,
19,Eaton County,"109,456",,,
20,Bay County,"104,104",,,
21,Lenawee County,"98,381",,,
22,Grand Traverse County,"92,181",,,
23,Lapeer County,"88,038",,,
24,Midland County,"83,355",,,
25,Clinton County,"78,389",,,
26,Van Buren County,"75,358",,,
27,Isabella County,"70,688",,,
28,Shiawassee County,"68,340",,,
29,Marquette County,"66,686",,,
30,Ionia County,"64,300",,,
31,Montcalm County,"63,413",,,
32,St. Joseph County,"60,836",,,
33,Barry County,"60,540",,,
34,Tuscola County,"52,939",,,
35,Cass County,"51,523",,,
36,Newaygo County,"48,366",,,
37,Hillsdale County,"45,757",,,
38,Branch County,"43,513",,,
39,Mecosta County,"43,251",,,
40,Sanilac County,"41,295",,,
41,Gratiot County,"40,916",,,
42,Chippewa County,"37,629",,,
43,Houghton County,"36,070",,,
44,Delta County,"36,026",,,
45,Wexford County,"33,256",,,
46,Emmet County,"33,104",,,
47,Huron County,"31,349",,,
48,Clare County,"30,651",,,
49,Mason County,"28,954",,,
50,Alpena County,"28,520",,,
51,Oceana County,"26,416",,,
52,Charlevoix County,"26,188",,,
53,Dickinson County,"25,439",,,
54,Cheboygan County,"25,418",,,
55,Gladwin County,"25,279",,,
56,Iosco County,"25,197",,,
57,Otsego County,"24,490",,,
58,Manistee County,"24,457",,,
59,Roscommon County,"23,851",,,
60,Osceola County,"23,290",,,
61,Antrim County,"23,206",,,
62,Menominee County,"23,074",,,
63,Leelanau County,"21,652",,,
64,Ogemaw County,"20,898",,,
65,Benzie County,"17,615",,,
66,Kalkaska County,"17,585",,,
67,Arenac County,"15,070",,,
68,Gogebic County,"15,061",,,
69,Missaukee County,"15,028",,,
70,Crawford County,"13,892",,,
71,Presque Isle County,"12,714",,,
72,Lake County,"11,852",,,
73,Iron County,"11,152",,,
74,Mackinac County,"10,780",,,
75,Alcona County,"10,353",,,
76,Montmorency County,"9,265",,,
77,Alger County,"9,151",,,
78,Baraga County,"8,421",,,
79,Oscoda County,"8,248",,,
80,Schoolcraft County,"8,048",,,
81,Luce County,"6,338",,,
82,Ontonagon County,"5,877",,,
83,Keweenaw County,"2,111",,,